cihldlike     [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
halnitg       [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
artyiuoth     [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
ithalgn       [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
etoophastt    [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
neci          [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
ttthoapseo    [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
tghainl       [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
tpotohaset    [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
fudno         [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
ncie          [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
fnudo         [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
chilildek     [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
aityoruth     [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
keilildch     [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
dnfou         [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
htignal       [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
cien          [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
dlclikihe     [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
ldichilke     [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
ahiltgn       [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
hnltiag       [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
haltign       [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
agltinh       [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
hilhfatugin   [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
hiltagn       [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
fdonu         [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
khiedilcl     [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
chkldliie     [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
ince          [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
atlihng       [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
yutaorith     [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
hiugtilhnaf   [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
chilelidk     [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
niglfahutih   [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
haitlng       [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
autthrioy     [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
natgilh       [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
hlating       [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
ightanl       [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
cein          [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
tooshpatte    [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
icne          [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
athnilg       [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
ouahtriyt     [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
chiedlilk     [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
aithtryuo     [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
ihltagn       [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
cedlilikh     [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
hagtinl       [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
totehpasto    [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
fduno         [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
cien          [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
highfalntiu   [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
toaohptste    [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
ttohopteas    [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
hahtgilufin   [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
ecin          [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
fuodn         [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
htootpaste    [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
dfuno         [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
auohtrity     [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
ofdnu         [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
hhgitalufin   [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
fnuod         [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
autohrtyi     [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
hglnita       [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
icne          [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
pattthosoe    [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
autotirhy     [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
anghfilutih   [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
anltihg       [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
chidllike     [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
fduno         [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
ilhcdlike     [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
fodnu         [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
ihcldlike     [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
laitgnh       [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
foudn         [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
tohtoeastp    [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
oufdn         [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
hlgitna       [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
otpttohsae    [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
halgtni       [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
aoothptset    [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
outahrity     [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
ikildlche     [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
iecn          [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
hagtinl       [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
nuofd         [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
atuhoirty     [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
rythiaout     [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
chiedkill     [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
lhating       [0. 0. 0. 0. 0. 0. 0.]   [0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   1.4285714285714287e-05     85.71428571428571        100.0
galtnih       [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
neci          [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
hlitnag       [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
htghnaliiuf   [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
esothtapot    [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
iecn          [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
tooehpastt    [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
enci          [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
higufalhtin   [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
icen          [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
dlceihikl     [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
khicdleli     [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
elidhkcli     [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
hlatnig       [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
lahtngi       [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
highfaiutln   [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
ciildlhke     [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0]   1.4285714285714287e-05     85.71428571428571        100.0
cdilklihe     [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
glhtina       [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
niec          [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
niec          [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
cnie          [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
nfoud         [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.0     100.0        100.0
