yotahriut     [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.00000000     100.00        100.00
ncie          [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.00000000     100.00        100.00
ttoosptaeh    [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.00000000     100.00        100.00
thpaotoset    [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.00000000     100.00        100.00
keiclidhl     [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.00000000     100.00        100.00
hedliclki     [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.00000000     100.00        100.00
hrtotuyia     [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.00000000     100.00        100.00
ideclhikl     [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.00000000     100.00        100.00
asoptethto    [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.00000000     100.00        100.00
unofd         [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.00000000     100.00        100.00
hoeospttta    [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.00000000     100.00        100.00
ondfu         [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.00000000     100.00        100.00
authority     [0. 0. 0. 0. 1. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]   0.00000000     100.00        100.00
guilhithnfa   [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.00000000     100.00        100.00
lafigthhuni   [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.00000000     100.00        100.00
fiahghuilnt   [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.00000000     100.00        100.00
ailghtn       [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.00000000     100.00        100.00
ohsaptotte    [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.00000000     100.00        100.00
onufd         [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.00000000     100.00        100.00
topottshae    [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.00000000     100.00        100.00
noudf         [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.00000000     100.00        100.00
found         [0. 0. 0. 0. 0. 0. 1.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]   0.00000000     100.00        100.00
hkllceiid     [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.00000000     100.00        100.00
ilthnga       [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.00000000     100.00        100.00
highfanutil   [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.00000000     100.00        100.00
htnlagi       [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.00000000     100.00        100.00
tpeoatotsh    [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.00000000     100.00        100.00
enic          [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.00000000     100.00        100.00
kihedlicl     [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.00000000     100.00        100.00
clihdeikl     [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.00000000     100.00        100.00
authority     [0. 0. 0. 0. 1. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]   0.00000000     100.00        100.00
donfu         [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.00000000     100.00        100.00
ihgnalt       [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.00000000     100.00        100.00
hfghiatuinl   [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.00000000     100.00        100.00
neci          [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.00000000     100.00        100.00
ieldilkhc     [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.00000000     100.00        100.00
ehliidklc     [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.00000000     100.00        100.00
tlhgina       [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.00000000     100.00        100.00
oaothtspet    [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.00000000     100.00        100.00
ahlting       [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.00000000     100.00        100.00
ldhleiikc     [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.00000000     100.00        100.00
eotphtosta    [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.00000000     100.00        100.00
hitalgn       [0. 0. 0. 0. 0. 0. 0.]   [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]   0.00000000     100.00        100.00
