Epoch 236  Global error  0.01142
Epoch 237  Global error  0.01141
Epoch 238  Global error  0.01139
Epoch 239  Global error  0.01139
Epoch 240  Global error  0.01138
Epoch 241  Global error  0.01137
Epoch 242  Global error  0.01137
Epoch 243  Global error  0.01138
Epoch 244  Global error  0.01135
Epoch 245  Global error  0.01134
Epoch 246  Global error  0.01134
Epoch 247  Global error  0.01133
Epoch 248  Global error  0.01135
Epoch 249  Global error  0.01135

6 tiles are replaced with prefabricated ones which increases our profit by 6*1000=6000$$
Number of Unique tiles: 40
Total Price: 41400 $$
Net Profit: 18600 $$

Tile line-middle (prefabricated):   3x
Tile half-up     (prefabricated):   2x
Tile half-left   (prefabricated):   1x
Tile 1: 44x
Tile 2: 40x
Tile 3: 4x
Tile 4: 3x
Tile 5: 3x
Tile 6: 2x
Tile 7: 2x
Tile 8: 2x
Tile 9: 2x
Tile 10: 2x
Tile 11: 1x
Tile 12: 1x
Tile 13: 1x
Tile 14: 1x
Tile 15: 1x
Tile 16: 1x
Tile 17: 1x
Tile 18: 1x
Tile 19: 1x
Tile 20: 1x
Tile 21: 1x
Tile 22: 1x
Tile 23: 1x
Tile 24: 1x
Tile 25: 1x
Tile 26: 1x
Tile 27: 1x
Tile 28: 1x
Tile 29: 1x
Tile 30: 1x
Tile 31: 1x
Tile 32: 1x
Tile 33: 1x
Tile 34: 1x
Tile 35: 1x
Tile 36: 1x
Tile 37: 1x
Tile 38: 1x
Tile 39: 1x
Tile 40: 1x



